"country_name","country_text_id","country_id","e_regionpol_6C"
"Afghanistan","AFG",36,6
"Angola","AGO",104,4
"Albania","ALB",12,1
"United Arab Emirates","ARE",207,3
"Argentina","ARG",37,2
"Armenia","ARM",105,1
"Australia","AUS",67,5
"Austria","AUT",144,5
"Azerbaijan","AZE",106,1
"Burundi","BDI",69,4
"Belgium","BEL",148,5
"Benin","BEN",52,4
"Burkina Faso","BFA",54,4
"Bangladesh","BGD",24,6
"Bulgaria","BGR",152,1
"Bahrain","BHR",146,3
"Bosnia and Herzegovina","BIH",150,1
"Belarus","BLR",107,1
"Bolivia","BOL",25,2
"Brazil","BRA",19,2
"Barbados","BRB",147,2
"Bhutan","BTN",53,6
"Botswana","BWA",68,4
"Central African Republic","CAF",71,4
"Canada","CAN",66,5
"Switzerland","CHE",6,5
"Chile","CHL",72,2
"China","CHN",110,6
"Ivory Coast","CIV",64,4
"Cameroon","CMR",108,4
"Democratic Republic of the Congo","COD",111,4
"Republic of the Congo","COG",112,4
"Colombia","COL",15,2
"Comoros","COM",153,4
"Cape Verde","CPV",70,4
"Costa Rica","CRI",73,2
"Cuba","CUB",155,2
"Cyprus","CYP",156,5
"Czech Republic","CZE",157,1
"German Democratic Republic","DDR",137,1
"Germany","DEU",77,5
"Djibouti","DJI",113,4
"Denmark","DNK",158,5
"Dominican Republic","DOM",114,2
"Algeria","DZA",103,3
"Ecuador","ECU",75,2
"Egypt","EGY",13,3
"Eritrea","ERI",115,4
"Spain","ESP",96,5
"Estonia","EST",161,1
"Ethiopia","ETH",38,4
"Finland","FIN",163,5
"Fiji","FJI",162,6
"France","FRA",76,5
"Gabon","GAB",116,4
"United Kingdom","GBR",101,5
"Georgia","GEO",118,1
"Ghana","GHA",7,4
"Guinea","GIN",63,4
"The Gambia","GMB",117,4
"Guinea-Bissau","GNB",119,4
"Equatorial Guinea","GNQ",160,4
"Greece","GRC",164,5
"Guatemala","GTM",78,2
"Guyana","GUY",166,2
"Hong Kong","HKG",167,6
"Honduras","HND",27,2
"Croatia","HRV",154,1
"Haiti","HTI",26,2
"Hungary","HUN",210,1
"Indonesia","IDN",56,6
"India","IND",39,6
"Ireland","IRL",81,5
"Iran","IRN",79,3
"Iraq","IRQ",80,3
"Iceland","ISL",168,5
"Israel","ISR",169,3
"Italy","ITA",82,5
"Jamaica","JAM",120,2
"Jordan","JOR",83,3
"Japan","JPN",9,6
"Kazakhstan","KAZ",121,1
"Kenya","KEN",40,4
"Kyrgyzstan","KGZ",122,1
"Cambodia","KHM",55,6
"South Korea","KOR",42,6
"Kuwait","KWT",171,3
"Laos","LAO",123,6
"Lebanon","LBN",44,3
"Liberia","LBR",86,4
"Libya","LBY",124,3
"Sri Lanka","LKA",131,6
"Lesotho","LSO",85,4
"Lithuania","LTU",173,1
"Luxembourg","LUX",174,5
"Latvia","LVA",84,1
"Morocco","MAR",90,3
"Moldova","MDA",126,1
"Madagascar","MDG",125,4
"Maldives","MDV",88,6
"Mexico","MEX",3,2
"Macedonia","MKD",176,1
"Mali","MLI",28,4
"Malta","MLT",178,5
"Burma/Myanmar","MMR",10,6
"Montenegro","MNE",183,1
"Mongolia","MNG",89,1
"Mozambique","MOZ",57,4
"Mauritania","MRT",65,4
"Mauritius","MUS",180,4
"Malawi","MWI",87,4
"Malaysia","MYS",177,6
"Namibia","NAM",127,4
"Niger","NER",60,4
"Nigeria","NGA",45,4
"Nicaragua","NIC",59,2
"Netherlands","NLD",91,5
"Norway","NOR",186,5
"Nepal","NPL",58,6
"New Zealand","NZL",185,5
"Oman","OMN",187,3
"Pakistan","PAK",29,6
"Panama","PAN",92,2
"Peru","PER",30,2
"Philippines","PHL",46,6
"Papua New Guinea","PNG",93,6
"Poland","POL",17,1
"North Korea","PRK",41,6
"Portugal","PRT",21,5
"Paraguay","PRY",189,2
"Palestine/West Bank","PSE",128,3
"Palestine/Gaza","PSG",138,3
"Qatar","QAT",94,3
"Romania","ROU",190,1
"Russia","RUS",11,1
"Rwanda","RWA",129,4
"Saudi Arabia","SAU",197,3
"Sudan","SDN",33,4
"Senegal","SEN",31,4
"Singapore","SGP",200,6
"Solomon Islands","SLB",203,6
"Sierra Leone","SLE",95,4
"El Salvador","SLV",22,2
"Somaliland","SML",139,4
"Somalia","SOM",130,4
"Serbia","SRB",198,1
"South Sudan","SSD",32,4
"Sao Tome and Principe","STP",196,4
"Suriname","SUR",4,2
"Slovakia","SVK",201,1
"Slovenia","SVN",202,1
"Sweden","SWE",5,5
"Swaziland","SWZ",132,4
"Seychelles","SYC",199,4
"Syria","SYR",97,3
"Chad","TCD",109,4
"Togo","TGO",134,4
"Thailand","THA",49,6
"Tajikistan","TJK",133,1
"Turkmenistan","TKM",136,1
"Timor-Leste","TLS",74,6
"Trinidad and Tobago","TTO",135,2
"Tunisia","TUN",98,3
"Turkey","TUR",99,3
"Taiwan","TWN",48,6
"Tanzania","TZA",47,4
"Uganda","UGA",50,4
"Ukraine","UKR",100,1
"Uruguay","URY",102,2
"United States of America","USA",20,5
"Uzbekistan","UZB",140,1
"Republic of Vietnam","VDR",35,6
"Venezuela","VEN",51,2
"Vietnam","VNM",34,6
"Vanuatu","VUT",206,6
"Kosovo","XKX",43,1
"Yemen","YEM",14,3
"South Yemen","YMD",23,3
"South Africa","ZAF",8,4
"Zambia","ZMB",61,4
"Zimbabwe","ZWE",62,4
"Zanzibar","ZZB",236,4
