outcome,direction,year,num.trees,min.node.size,mtry
v2x_freexp_altinf,up,2005,900,1,10
v2x_freexp_altinf,down,2005,900,1,5
v2x_freexp_altinf,up,2006,900,1,7
v2x_freexp_altinf,down,2006,900,1,5
v2x_freexp_altinf,up,2007,900,1,20
v2x_freexp_altinf,down,2007,900,1,7
v2x_freexp_altinf,up,2008,900,1,30
v2x_freexp_altinf,down,2008,900,1,5
v2x_freexp_altinf,up,2009,900,1,25
v2x_freexp_altinf,down,2009,900,1,5
v2x_freexp_altinf,up,2010,900,1,15
v2x_freexp_altinf,down,2010,900,1,5
v2x_freexp_altinf,up,2011,900,1,7
v2x_freexp_altinf,down,2011,900,1,5
v2x_freexp_altinf,up,2012,900,1,30
v2x_freexp_altinf,down,2012,900,1,7
v2x_freexp_altinf,up,2013,900,1,20
v2x_freexp_altinf,down,2013,900,1,5
v2x_freexp_altinf,up,2014,900,1,20
v2x_freexp_altinf,down,2014,900,1,7
v2x_freexp_altinf,up,2015,900,1,30
v2x_freexp_altinf,down,2015,900,1,5
v2x_freexp_altinf,up,2016,900,1,15
v2x_freexp_altinf,down,2016,900,1,5
v2x_freexp_altinf,up,2017,900,1,30
v2x_freexp_altinf,down,2017,900,1,5
v2x_freexp_altinf,up,2018,900,1,15
v2x_freexp_altinf,down,2018,900,1,5
v2x_horacc_osp,up,2005,900,1,40
v2x_horacc_osp,down,2005,900,1,7
v2x_horacc_osp,up,2006,900,1,50
v2x_horacc_osp,down,2006,900,1,5
v2x_horacc_osp,up,2007,900,1,25
v2x_horacc_osp,down,2007,900,1,7
v2x_horacc_osp,up,2008,900,1,50
v2x_horacc_osp,down,2008,900,1,5
v2x_horacc_osp,up,2009,900,1,70
v2x_horacc_osp,down,2009,900,1,7
v2x_horacc_osp,up,2010,900,1,85
v2x_horacc_osp,down,2010,900,1,7
v2x_horacc_osp,up,2011,900,1,40
v2x_horacc_osp,down,2011,900,1,5
v2x_horacc_osp,up,2012,900,1,40
v2x_horacc_osp,down,2012,900,1,5
v2x_horacc_osp,up,2013,900,1,40
v2x_horacc_osp,down,2013,900,1,7
v2x_horacc_osp,up,2014,900,1,60
v2x_horacc_osp,down,2014,900,1,5
v2x_horacc_osp,up,2015,900,1,15
v2x_horacc_osp,down,2015,900,1,7
v2x_horacc_osp,up,2016,900,1,40
v2x_horacc_osp,down,2016,900,1,5
v2x_horacc_osp,up,2017,900,1,70
v2x_horacc_osp,down,2017,900,1,5
v2x_horacc_osp,up,2018,900,1,20
v2x_horacc_osp,down,2018,900,1,10
v2x_pubcorr,up,2005,900,1,7
v2x_pubcorr,down,2005,900,1,5
v2x_pubcorr,up,2006,900,1,5
v2x_pubcorr,down,2006,900,1,10
v2x_pubcorr,up,2007,900,1,10
v2x_pubcorr,down,2007,900,1,7
v2x_pubcorr,up,2008,900,1,5
v2x_pubcorr,down,2008,900,1,10
v2x_pubcorr,up,2009,900,1,5
v2x_pubcorr,down,2009,900,1,7
v2x_pubcorr,up,2010,900,1,7
v2x_pubcorr,down,2010,900,1,15
v2x_pubcorr,up,2011,900,1,5
v2x_pubcorr,down,2011,900,1,10
v2x_pubcorr,up,2012,900,1,5
v2x_pubcorr,down,2012,900,1,10
v2x_pubcorr,up,2013,900,1,10
v2x_pubcorr,down,2013,900,1,5
v2x_pubcorr,up,2014,900,1,7
v2x_pubcorr,down,2014,900,1,15
v2x_pubcorr,up,2015,900,1,10
v2x_pubcorr,down,2015,900,1,15
v2x_pubcorr,up,2016,900,1,5
v2x_pubcorr,down,2016,900,1,7
v2x_pubcorr,up,2017,900,1,7
v2x_pubcorr,down,2017,900,1,7
v2x_pubcorr,up,2018,900,1,10
v2x_pubcorr,down,2018,900,1,25
v2x_veracc_osp,up,2005,900,1,85
v2x_veracc_osp,down,2005,900,1,15
v2x_veracc_osp,up,2006,900,1,70
v2x_veracc_osp,down,2006,900,1,20
v2x_veracc_osp,up,2007,900,1,100
v2x_veracc_osp,down,2007,900,1,50
v2x_veracc_osp,up,2008,900,1,100
v2x_veracc_osp,down,2008,900,1,30
v2x_veracc_osp,up,2009,900,1,85
v2x_veracc_osp,down,2009,900,1,25
v2x_veracc_osp,up,2010,900,1,60
v2x_veracc_osp,down,2010,900,1,25
v2x_veracc_osp,up,2011,900,1,100
v2x_veracc_osp,down,2011,900,1,25
v2x_veracc_osp,up,2012,900,1,40
v2x_veracc_osp,down,2012,900,1,25
v2x_veracc_osp,up,2013,900,1,60
v2x_veracc_osp,down,2013,900,1,40
v2x_veracc_osp,up,2014,900,1,100
v2x_veracc_osp,down,2014,900,1,20
v2x_veracc_osp,up,2015,900,1,85
v2x_veracc_osp,down,2015,900,1,25
v2x_veracc_osp,up,2016,900,1,60
v2x_veracc_osp,down,2016,900,1,20
v2x_veracc_osp,up,2017,900,1,70
v2x_veracc_osp,down,2017,900,1,30
v2x_veracc_osp,up,2018,900,1,40
v2x_veracc_osp,down,2018,900,1,40
v2xcl_rol,up,2005,900,1,5
v2xcl_rol,down,2005,900,1,5
v2xcl_rol,up,2006,900,1,7
v2xcl_rol,down,2006,900,1,7
v2xcl_rol,up,2007,900,1,7
v2xcl_rol,down,2007,900,1,5
v2xcl_rol,up,2008,900,1,7
v2xcl_rol,down,2008,900,1,5
v2xcl_rol,up,2009,900,1,5
v2xcl_rol,down,2009,900,1,5
v2xcl_rol,up,2010,900,1,5
v2xcl_rol,down,2010,900,1,5
v2xcl_rol,up,2011,900,1,7
v2xcl_rol,down,2011,900,1,5
v2xcl_rol,up,2012,900,1,5
v2xcl_rol,down,2012,900,1,5
v2xcl_rol,up,2013,900,1,5
v2xcl_rol,down,2013,900,1,5
v2xcl_rol,up,2014,900,1,7
v2xcl_rol,down,2014,900,1,5
v2xcl_rol,up,2015,900,1,7
v2xcl_rol,down,2015,900,1,5
v2xcl_rol,up,2016,900,1,5
v2xcl_rol,down,2016,900,1,5
v2xcl_rol,up,2017,900,1,7
v2xcl_rol,down,2017,900,1,5
v2xcl_rol,up,2018,900,1,7
v2xcl_rol,down,2018,900,1,5
v2xcs_ccsi,up,2005,900,1,20
v2xcs_ccsi,down,2005,900,1,5
v2xcs_ccsi,up,2006,900,1,10
v2xcs_ccsi,down,2006,900,1,7
v2xcs_ccsi,up,2007,900,1,10
v2xcs_ccsi,down,2007,900,1,5
v2xcs_ccsi,up,2008,900,1,7
v2xcs_ccsi,down,2008,900,1,5
v2xcs_ccsi,up,2009,900,1,10
v2xcs_ccsi,down,2009,900,1,5
v2xcs_ccsi,up,2010,900,1,15
v2xcs_ccsi,down,2010,900,1,5
v2xcs_ccsi,up,2011,900,1,15
v2xcs_ccsi,down,2011,900,1,7
v2xcs_ccsi,up,2012,900,1,10
v2xcs_ccsi,down,2012,900,1,7
v2xcs_ccsi,up,2013,900,1,10
v2xcs_ccsi,down,2013,900,1,7
v2xcs_ccsi,up,2014,900,1,5
v2xcs_ccsi,down,2014,900,1,5
v2xcs_ccsi,up,2015,900,1,10
v2xcs_ccsi,down,2015,900,1,5
v2xcs_ccsi,up,2016,900,1,7
v2xcs_ccsi,down,2016,900,1,5
v2xcs_ccsi,up,2017,900,1,5
v2xcs_ccsi,down,2017,900,1,5
v2xcs_ccsi,up,2018,900,1,5
v2xcs_ccsi,down,2018,900,1,7
